Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_def
Cédric Alves Soares,Arsenal,Defender,0.4,0.81,10,0,1.2,2.83,3,0.0,0.06,0,0.1,2.5,2.5,0.0,4.0,0,0,0.4154549231408392,0.04057553956834532,0.028179824561403506,0.005479452054794521,,,0.16999999999999993
Gabriel dos Santos Magalhães,Arsenal,Defender,27.7,1.0,146,15,3.8,41.84,43,0.37,5.04,3,0.15,29.2,29.2,0.0,5.0,14,5,6.065641877856252,0.5351079136690647,0.07203947368421053,0.21972602739726027,,,1.1599999999999966
Rob Holding,Arsenal,Defender,0.2,0.96,21,0,1.5,11.14,13,0.0,0.32,1,0.07,4.7,4.7,0.0,4.5,0,0,0.8724553385957623,0.10935251798561152,0.005646929824561404,0.02958904109589041,,,1.8599999999999994
Jakub Kiwior,Arsenal,Defender,0.1,1.06,26,1,3.7,6.46,6,0.42,0.1,1,0.02,5.8,5.8,0.0,4.5,2,0,1.080182800166182,0.07093525179856115,0.00981359649122807,0.011506849315068492,,,-0.45999999999999996
William Saliba,Arsenal,Defender,16.8,1.01,117,14,4.3,26.86,25,0.45,0.91,2,0.04,23.4,23.4,0.0,5.0,12,4,4.860822600747819,0.38057553956834533,0.05526315789473684,0.06246575342465753,,,-1.8599999999999994
Kieran Tierney,Arsenal,Defender,0.4,0.7,37,0,1.4,10.9,10,0.12,0.38,0,0.09,8.2,8.2,0.0,4.5,1,0,1.5371832156211052,0.10402877697841727,0.04720394736842105,0.036712328767123284,,,-0.9000000000000004
Takehiro Tomiyasu,Arsenal,Defender,0.2,0.83,32,0,1.5,8.93,11,0.28,0.24,0,0.06,7.1,7.1,0.0,4.5,2,2,1.3294557540506855,0.0985611510791367,0.04747807017543859,0.03013698630136986,,,2.0700000000000003
Benjamin White,Arsenal,Defender,10.2,1.06,156,12,4.1,37.23,35,0.44,1.25,2,0.15,28.4,28.4,0.0,5.5,15,5,6.481096800997093,0.4715107913669065,0.27001096491228066,0.08712328767123287,,,-2.229999999999997
Oleksandr Zinchenko,Arsenal,Defender,8.4,1.1,99,8,3.7,26.67,28,0.42,1.32,1,0.16,19.8,19.8,0.0,5.0,10,3,4.113003739094308,0.29136690647482016,0.21255482456140348,0.10410958904109588,,,1.3299999999999983
Alexandre Moreno Lopera,Aston Villa,Defender,0.1,0.95,72,5,3.8,17.83,10,0.48,0.59,0,0.21,14.4,14.4,0.0,5.0,7,3,4.562737642585551,0.18302158273381297,0.17604166666666668,0.08273972602739725,,,-7.829999999999998
Matty Cash,Aston Villa,Defender,5.9,0.99,57,3,2.2,27.14,29,0.2,0.2,0,0.06,12.7,12.7,0.0,4.5,4,4,3.6121673003802277,0.21798561151079138,0.09775219298245615,0.036712328767123284,,,1.8599999999999994
Calum Chambers,Aston Villa,Defender,1.4,0.52,13,0,0.9,5.88,4,0.0,0.14,0,0.09,3.2,3.2,0.0,4.0,0,2,0.8238276299112801,0.053525179856115115,0.016337719298245613,0.004383561643835616,,,-1.88
Diego Carlos Santos Silva,Aston Villa,Defender,0.5,0.88,4,0,1.3,1.92,3,0.0,0.36,0,0.21,0.9,0.9,0.0,4.5,0,0,0.25348542458808615,0.017841726618705037,0.007236842105263157,0.017534246575342465,,,1.08
Lucas Digne,Aston Villa,Defender,1.2,1.09,50,4,1.8,25.91,25,0.18,0.43,1,0.14,11.1,11.1,0.0,4.5,3,5,3.1685678073510775,0.19971223021582735,0.16748903508771928,0.05315068493150685,,3.0,-0.9100000000000001
Ezri Konsa Ngoyo,Aston Villa,Defender,1.3,1.0,110,6,2.9,50.67,45,0.33,1.08,0,0.05,24.4,24.4,0.0,4.5,12,6,6.970849176172369,0.4089208633093525,0.0637061403508772,0.03945205479452055,,,-5.670000000000002
Tyrone Mings,Aston Villa,Defender,15.2,1.0,130,17,3.7,47.28,40,0.34,0.96,1,0.06,28.9,28.9,0.0,4.5,12,7,8.238276299112801,0.4779856115107914,0.048355263157894735,0.06630136986301369,,,-7.280000000000001
Ryan Fredericks,Bournemouth,Defender,0.1,0.85,12,0,1.0,10.14,11,0.0,0.0,0,0.05,2.7,2.7,0.0,4.5,0,1,1.0849909584086799,0.04748201438848921,0.01463815789473684,0.006575342465753424,,,0.8599999999999994
Lloyd Kelly,Bournemouth,Defender,0.0,1.01,60,5,2.6,35.92,38,0.22,0.17,0,0.04,13.3,13.3,0.0,4.5,5,3,5.424954792043399,0.30201438848920864,0.0625,0.014246575342465753,,,2.0799999999999983
Chris Mepham,Bournemouth,Defender,0.1,0.98,43,6,1.7,42.46,52,0.2,0.96,0,0.06,9.6,9.6,0.0,4.5,5,7,3.887884267631103,0.40028776978417263,0.02982456140350877,0.07342465753424657,,,9.54
Marcos Senesi,Bournemouth,Defender,0.2,1.05,69,5,2.2,47.62,55,0.18,1.66,2,0.07,15.3,15.3,0.0,4.5,5,7,6.23869801084991,0.4332374100719425,0.043366228070175435,0.061917808219178076,,,7.380000000000003
Adam Smith,Bournemouth,Defender,0.1,1.04,74,5,2.0,54.01,58,0.21,0.5,0,0.07,16.4,16.4,0.0,4.5,7,11,6.6907775768535265,0.2997122302158274,0.15180921052631577,0.048219178082191776,,,3.990000000000002
Illia Zabarnyi,Bournemouth,Defender,0.1,0.91,7,0,1.4,5.12,5,0.0,0.0,0,0.0,1.6,1.6,0.0,4.5,0,0,0.6329113924050633,0.041726618705035974,0.0007675438596491227,0.0,,,-0.1200000000000001
Kristoffer Ajer,Brentford,Defender,0.3,1.06,29,0,3.2,11.34,14,0.47,0.04,0,0.01,6.4,6.4,0.0,4.5,4,0,1.6714697406340056,0.06964028776978418,0.013541666666666665,0.014794520547945205,,,2.66
Mads Bech Sørensen,Brentford,Defender,0.2,0.0,4,0,1.0,0.28,0,0.0,0.0,0,0.0,1.0,1.0,0.0,4.0,0,0,0.23054755043227668,0.0018705035971223023,0.00010964912280701755,0.0,,,-0.28
Nathan Collins,Brentford,Defender,0.3,0.94,49,6,1.9,32.93,37,0.2,0.23,0,0.02,10.9,10.9,0.0,4.5,4,2,2.824207492795389,0.3143884892086331,0.02132675438596491,0.019726027397260273,,,4.07
Rico Henry,Brentford,Defender,3.9,1.03,112,4,3.0,48.49,46,0.31,1.8,0,0.13,24.9,24.9,0.0,4.5,11,4,6.455331412103746,0.33093525179856115,0.2256030701754386,0.10794520547945205,,,-2.490000000000002
Aaron Hickey,Brentford,Defender,0.4,1.08,63,2,2.4,28.13,30,0.23,0.38,0,0.05,14.0,14.0,0.0,4.5,5,7,3.631123919308357,0.16359712230215828,0.06617324561403509,0.0558904109589041,,,1.870000000000001
Ben Mee,Brentford,Defender,7.6,1.02,143,11,3.9,46.31,40,0.33,3.19,3,0.11,28.6,28.6,0.0,5.0,12,2,8.24207492795389,0.5615827338129497,0.05652412280701754,0.18410958904109587,,,-6.310000000000002
Ethan Pinnock,Brentford,Defender,2.0,1.0,112,6,3.7,40.17,34,0.33,2.73,3,0.13,24.9,24.9,0.0,4.5,10,0,6.455331412103746,0.6048920863309353,0.06036184210526315,0.1747945205479452,,,-6.170000000000002
Mads Roerslev Rasmussen,Brentford,Defender,0.1,0.98,48,0,2.4,17.67,12,0.41,0.28,0,0.09,10.7,10.7,0.0,4.5,5,0,2.76657060518732,0.12057553956834532,0.06617324561403509,0.025205479452054792,,,-5.670000000000002
Mathias Jorgensen,Brentford,Defender,0.1,0.9,45,4,2.5,19.73,15,0.33,1.33,0,0.12,10.0,10.0,0.0,4.5,4,2,2.5936599423631126,0.14618705035971222,0.021600877192982454,0.02958904109589041,,,-4.73
Lewis Dunk,Brighton,Defender,4.2,1.0,112,7,3.1,46.43,50,0.33,1.67,1,0.07,22.4,22.4,0.0,5.0,12,4,7.740152038700761,0.4758273381294964,0.08969298245614034,0.1084931506849315,,,3.5700000000000003
Pervis Estupiñán,Brighton,Defender,51.9,1.04,128,15,3.7,41.6,43,0.34,1.8,1,0.19,25.6,25.6,0.0,5.0,10,4,8.84588804422944,0.4138129496402878,0.41551535087719293,0.16273972602739725,,,1.3999999999999986
Tariq Lamptey,Brighton,Defender,8.4,0.62,23,0,1.1,6.37,7,0.21,0.2,0,0.17,5.8,5.8,0.0,4.0,1,1,1.5894955079474777,0.050791366906474816,0.047807017543859645,0.026301369863013697,,,0.6299999999999999
Jan Paul van Hecke,Brighton,Defender,1.0,0.93,6,0,0.8,6.72,7,0.0,0.55,0,0.18,1.5,1.5,0.0,4.0,0,2,0.414651002073255,0.05136690647482015,0.0031798245614035087,0.005479452054794521,,,0.28000000000000025
Joël Veltman,Brighton,Defender,1.3,1.03,95,6,3.1,27.53,29,0.41,1.72,1,0.11,21.1,21.1,0.0,4.5,10,6,6.565307532826538,0.29294964028776976,0.11036184210526316,0.08876712328767122,,,1.4699999999999989
Adam Webster,Brighton,Defender,0.5,1.04,75,3,2.8,25.8,27,0.41,1.72,0,0.1,16.7,16.7,0.0,4.5,9,2,5.183137525915687,0.2602877697841727,0.057182017543859646,0.06904109589041095,,,1.1999999999999993
César Azpilicueta,Chelsea,Defender,0.0,0.95,45,4,1.8,27.38,21,0.18,0.35,0,0.09,10.0,10.0,0.0,4.5,3,3,4.113345521023766,0.19568345323741007,0.11578947368421051,0.0558904109589041,,,-6.379999999999999
Benoît Badiashile,Chelsea,Defender,0.2,1.0,40,2,3.6,12.31,9,0.4,1.26,1,0.15,8.9,8.9,0.0,4.5,4,2,3.656307129798903,0.1581294964028777,0.026918859649122807,0.04438356164383561,,,-3.3100000000000005
Trevoh Chalobah,Chelsea,Defender,0.3,1.01,49,1,2.0,30.99,24,0.28,0.82,0,0.07,10.9,10.9,0.0,4.5,5,4,4.478976234003657,0.21194244604316548,0.05153508771929824,0.06136986301369862,,,-6.989999999999998
Ben Chilwell,Chelsea,Defender,12.2,0.96,70,4,3.0,18.25,19,0.26,1.57,2,0.26,12.7,12.7,0.0,5.5,4,3,6.39853747714808,0.20388489208633093,0.20975877192982456,0.09753424657534246,,1.0,0.75
Levi Colwill,Chelsea,Defender,3.0,0.96,46,6,2.7,22.2,21,0.22,1.41,0,0.12,10.2,10.2,0.0,4.5,3,1,4.204753199268739,0.16992805755395682,0.05586622807017544,0.0273972602739726,,,-1.1999999999999993
Marc Cucurella Saseta,Chelsea,Defender,0.6,1.13,65,1,2.7,26.03,20,0.32,0.38,0,0.07,13.0,13.0,0.0,5.0,6,4,5.941499085923217,0.2549640287769784,0.12746710526315788,0.03945205479452055,,,-6.030000000000001
Wesley Fofana,Chelsea,Defender,0.1,0.93,37,4,2.2,22.96,24,0.13,0.74,1,0.07,8.2,8.2,0.0,4.5,2,4,3.3820840950639854,0.21194244604316548,0.032675438596491226,0.047123287671232875,,,1.0399999999999991
Lewis Hall,Chelsea,Defender,0.2,1.1,19,3,2.1,13.29,11,0.14,0.83,0,0.31,4.2,4.2,0.0,4.5,1,1,1.736745886654479,0.09669064748201439,0.1237938596491228,0.06958904109589041,,,-2.289999999999999
Reece James,Chelsea,Defender,14.9,1.01,44,5,2.8,14.11,17,0.14,1.06,1,0.29,8.0,8.0,0.0,5.5,2,4,4.021937842778794,0.2102158273381295,0.1963815789473684,0.08383561643835616,2.0,2.0,2.8900000000000006
Thiago Emiliano da Silva,Chelsea,Defender,2.0,1.0,80,8,3.0,34.83,32,0.23,1.54,0,0.1,16.0,16.0,0.0,5.0,6,2,7.312614259597806,0.4869064748201439,0.04956140350877193,0.08054794520547945,,,-2.8299999999999983
Joachim Andersen,Crystal Palace,Defender,0.7,1.04,80,1,2.5,36.23,37,0.26,1.87,1,0.09,17.8,17.8,0.0,4.5,8,8,5.763688760806916,0.4739568345323741,0.08958333333333333,0.1495890410958904,,,0.7700000000000031
Nathaniel Clyne,Crystal Palace,Defender,0.2,1.04,44,0,2.0,26.26,23,0.16,0.0,0,0.03,9.8,9.8,0.0,4.5,3,3,3.170028818443804,0.14647482014388488,0.06847587719298245,0.004383561643835616,,,-3.2600000000000016
Marc Guéhi,Crystal Palace,Defender,2.0,1.0,95,2,2.6,46.47,46,0.24,1.46,1,0.06,21.1,21.1,0.0,4.5,9,8,6.844380403458213,0.5071942446043166,0.07976973684210525,0.11671232876712329,,,-0.46999999999999886
Tyrick Mitchell,Crystal Palace,Defender,0.4,1.06,93,7,2.6,42.9,40,0.25,0.62,0,0.06,20.7,20.7,0.0,4.5,8,5,6.7002881844380395,0.3489208633093525,0.14270833333333333,0.07726027397260274,,,-2.8999999999999986
Chris Richards,Crystal Palace,Defender,0.5,0.81,13,0,1.4,11.19,11,0.2,0.71,0,0.15,3.2,3.2,0.0,4.0,1,0,0.9365994236311239,0.0664748201438849,0.008388157894736842,0.014246575342465753,,,-0.1899999999999995
James Tomkins,Crystal Palace,Defender,0.9,0.81,8,1,1.3,9.99,10,0.0,0.81,1,0.22,2.0,2.0,0.0,4.0,0,1,0.5763688760806917,0.06474820143884892,0.0006030701754385965,0.02958904109589041,,,0.009999999999999787
Joel Ward,Crystal Palace,Defender,0.2,0.96,78,5,2.8,32.15,35,0.32,1.12,1,0.07,17.3,17.3,0.0,4.5,8,6,5.619596541786744,0.321294964028777,0.09457236842105263,0.06246575342465753,,,2.8500000000000014
Seamus Coleman,Everton,Defender,0.2,1.09,63,5,2.7,33.5,25,0.27,0.3,1,0.07,14.0,14.0,0.0,4.5,5,1,4.9960348929421095,0.21424460431654677,0.05959429824561403,0.05205479452054794,,,-8.5
Ben Godfrey,Everton,Defender,0.2,1.12,18,0,1.4,18.17,18,0.11,1.24,0,0.15,4.0,4.0,0.0,4.5,1,2,1.4274385408406027,0.10561151079136692,0.023190789473684206,0.025205479452054792,,,-0.1700000000000017
Mason Holgate,Everton,Defender,2.0,0.89,16,2,2.0,9.49,9,0.36,1.0,0,0.21,4.0,4.0,0.0,4.0,2,1,1.26883425852498,0.06503597122302159,0.039418859649122805,0.03013698630136986,,,-0.4900000000000002
Michael Keane,Everton,Defender,0.3,0.92,39,5,3.2,23.98,22,0.18,1.29,1,0.2,8.7,8.7,0.0,4.5,2,0,3.0927835051546393,0.17453237410071942,0.023355263157894737,0.07178082191780821,,,-1.9800000000000004
Vitalii Mykolenko,Everton,Defender,0.3,1.02,75,4,2.2,53.67,46,0.24,0.54,0,0.05,16.7,16.7,0.0,4.5,7,4,5.947660586835844,0.3631654676258993,0.1683114035087719,0.06575342465753424,,,-7.670000000000002
Nathan Patterson,Everton,Defender,0.3,0.99,31,0,1.6,25.4,22,0.14,0.48,0,0.08,6.9,6.9,0.0,4.5,2,3,2.4583663758921492,0.1664748201438849,0.06134868421052631,0.05917808219178082,,,-3.3999999999999986
James Tarkowski,Everton,Defender,2.2,1.0,106,13,2.8,67.45,57,0.24,2.97,1,0.13,23.6,23.6,0.0,4.5,9,6,8.406026962727994,0.7484892086330937,0.10175438596491228,0.24164383561643835,,,-10.450000000000003
Ashley Young,Everton,Defender,0.7,1.02,87,8,3.0,31.81,28,0.4,0.46,1,0.05,19.3,19.3,0.0,4.5,9,7,6.89928628072958,0.27352517985611513,0.12247807017543859,0.04438356164383561,,2.0,-3.8099999999999987
Issa Diop,Fulham,Defender,0.2,0.94,79,8,3.2,35.86,26,0.31,0.29,1,0.03,17.6,17.6,0.0,4.5,7,2,5.528341497550734,0.3325179856115108,0.0212719298245614,0.043835616438356165,,,-9.86
Kevin Mbabu,Fulham,Defender,0.6,0.64,7,0,1.2,7.18,7,0.0,0.0,0,0.27,1.8,1.8,0.0,4.0,0,1,0.489853044086774,0.028633093525179856,0.02066885964912281,0.0,,,-0.17999999999999972
Tim Ream,Fulham,Defender,0.5,1.02,98,12,3.0,54.05,44,0.25,0.24,1,0.02,21.8,21.8,0.0,4.5,8,2,6.857942617214835,0.4346762589928058,0.03574561403508772,0.041643835616438356,,,-10.049999999999997
Antonee Robinson,Fulham,Defender,0.7,1.02,93,5,2.7,55.11,44,0.26,0.07,0,0.05,20.7,20.7,0.0,4.5,9,8,6.508047585724283,0.4123741007194245,0.23432017543859646,0.033424657534246574,,,-11.11
Kenny Tete,Fulham,Defender,0.7,1.02,90,1,2.9,46.78,36,0.25,0.74,1,0.1,20.0,20.0,0.0,4.5,7,8,6.298110566829951,0.482158273381295,0.21458333333333332,0.07945205479452054,,,-10.780000000000001
