Player,team,position,selected_by_percent,starts_per_90,total_points,bonus,points_per_game,expected_goals_conceded,goals_conceded,clean_sheets_per_90,expected_goals,goals_scored,expected_goal_involvements_per_90,value_season,value_season,value_form,now_cost,clean_sheets,yellow_cards,%of_team_points,influence,creativity,threat,penalties_order,corners_and_indirect_freekicks_order,performance_xG_off
Bobby De Cordova-Reid,Fulham,Midfielder,0.1,1.06,90,3,2.5,46.78,40,0.29,3.91,4,0.19,16.4,16.4,0.0,5.5,8,8,6.298110566829951,0.26273381294964027,0.17905701754385966,0.27835616438356164,,,0.08999999999999986
Tyrese Francois,Fulham,Midfielder,0.0,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.06997900629811056,0.0007194244604316547,0.0001644736842105263,0.0,,,0.0
Saša Lukić,Fulham,Midfielder,0.3,0.89,15,0,1.2,9.68,10,0.0,0.13,0,0.07,3.3,3.3,0.0,4.5,0,1,1.0496850944716585,0.02935251798561151,0.01200657894736842,0.010410958904109589,,,-0.13
João Palhinha Gonçalves,Fulham,Midfielder,0.4,1.01,83,5,2.4,56.38,43,0.26,2.93,3,0.09,16.6,16.6,0.0,5.0,9,14,5.808257522743177,0.41021582733812956,0.07828947368421053,0.1852054794520548,,,0.06999999999999984
Harrison Reed,Fulham,Midfielder,1.2,1.1,107,9,2.9,53.81,44,0.28,1.95,3,0.12,21.4,21.4,0.0,5.0,9,5,7.4877536738978305,0.3484892086330935,0.278125,0.14575342465753424,,,1.05
Harry Wilson,Fulham,Midfielder,0.2,1.08,68,2,2.3,21.44,15,0.17,2.03,2,0.26,12.4,12.4,0.0,5.5,2,1,4.758572428271519,0.15482014388489207,0.10093201754385964,0.09753424657534246,3.0,3.0,-0.029999999999999805
Willian Borges da Silva,Fulham,Midfielder,0.6,1.06,116,11,4.3,34.39,22,0.38,3.46,5,0.28,21.1,21.1,0.0,5.5,9,2,8.117564730580826,0.3279136690647482,0.3856359649122807,0.24602739726027395,,,1.54
Stefan Bajcetic,Liverpool,Midfielder,0.1,1.03,22,0,2.0,6.8,4,0.52,0.79,1,0.22,4.4,4.4,0.0,5.0,3,2,1.2304250559284116,0.06489208633093525,0.03382675438596491,0.0421917808219178,,,0.20999999999999996
Diogo Teixeira da Silva,Liverpool,Midfielder,3.3,0.96,80,9,3.6,17.76,19,0.4,6.38,7,0.65,10.0,10.0,0.0,8.0,5,2,4.47427293064877,0.27093525179856115,0.13300438596491226,0.21424657534246574,,,0.6200000000000001
Harvey Elliott,Liverpool,Midfielder,0.3,1.01,62,2,1.9,26.07,20,0.28,2.12,1,0.36,12.4,12.4,0.0,5.0,5,2,3.467561521252797,0.19352517985611511,0.22264254385964913,0.20712328767123286,,,-1.12
Fabio Henrique Tavares,Liverpool,Midfielder,0.1,1.05,70,0,1.9,39.21,34,0.37,0.7,0,0.08,14.0,14.0,0.0,5.0,11,11,3.9149888143176734,0.2879136690647482,0.17346491228070174,0.05972602739726027,3.0,,-0.7
Jordan Henderson,Liverpool,Midfielder,0.0,1.0,69,0,2.0,31.96,30,0.35,1.35,0,0.22,13.8,13.8,0.0,5.0,8,2,3.859060402684564,0.22676258992805756,0.2882675438596491,0.10136986301369862,,,-1.35
Curtis Jones,Liverpool,Midfielder,0.2,1.05,52,4,2.9,15.6,15,0.35,1.15,3,0.22,10.4,10.4,0.0,5.0,4,2,2.9082774049217,0.1962589928057554,0.13053728070175438,0.13150684931506848,,,1.85
Luis Díaz,Liverpool,Midfielder,6.0,1.0,62,7,3.6,11.99,11,0.36,2.48,4,0.35,8.3,8.3,0.0,7.5,4,2,3.467561521252797,0.17654676258992807,0.10997807017543859,0.22136986301369863,,,1.52
Alexis Mac Allister,Liverpool,Midfielder,13.5,0.97,140,18,4.0,40.48,45,0.31,12.05,10,0.51,23.3,23.3,0.0,6.0,10,8,7.829977628635347,0.5401438848920863,0.4092105263157894,0.39123287671232876,,,-2.0500000000000007
Mohamed Salah,Liverpool,Midfielder,23.7,1.01,239,23,6.3,47.47,45,0.36,21.01,19,0.76,19.1,19.1,0.0,12.5,13,2,13.366890380313198,0.7679136690647483,0.49298245614035086,0.924931506849315,2.0,,-2.0100000000000016
Thiago Alcántara do Nascimento,Liverpool,Midfielder,0.2,1.01,30,0,1.7,21.41,23,0.14,0.46,0,0.11,6.0,6.0,0.0,5.0,2,2,1.6778523489932886,0.1758273381294964,0.1457236842105263,0.047123287671232875,,,-0.46
Bernardo Veiga de Carvalho e Silva,Man City,Midfielder,4.3,0.98,106,9,3.1,23.24,24,0.29,2.09,4,0.25,16.3,16.3,0.0,6.5,7,5,5.37525354969574,0.3539568345323741,0.28234649122807015,0.23232876712328765,,,1.9100000000000001
Shea Charles,Man City,Midfielder,0.0,3.33,1,0,1.0,0.05,1,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.05070993914807302,0.009928057553956836,0.000493421052631579,0.0,,,0.0
Kevin De Bruyne,Man City,Midfielder,14.2,1.04,183,26,5.7,19.88,23,0.37,5.34,7,0.71,17.4,17.4,0.0,10.5,10,1,9.279918864097363,0.6458992805755396,0.809594298245614,0.3276712328767123,4.0,2.0,1.6600000000000001
Phil Foden,Man City,Midfielder,10.2,1.08,142,15,4.4,17.62,16,0.25,5.75,11,0.51,18.9,18.9,0.0,7.5,5,1,7.200811359026369,0.4926618705035971,0.387828947368421,0.3928767123287671,,3.0,5.25
Jack Grealish,Man City,Midfielder,6.8,1.01,121,9,4.3,14.46,16,0.44,4.5,5,0.5,16.1,16.1,0.0,7.5,10,4,6.135902636916836,0.37107913669064746,0.39544956140350873,0.37424657534246575,,4.0,0.5
Mateo Kovačić,Man City,Midfielder,1.3,0.9,53,2,2.0,24.0,25,0.21,1.79,1,0.2,10.6,10.6,0.0,5.0,4,8,2.68762677484787,0.21280575539568347,0.2005482456140351,0.06246575342465753,,,-0.79
Riyad Mahrez,Man City,Midfielder,0.4,1.04,126,11,4.2,18.28,23,0.28,5.4,5,0.5,16.8,16.8,0.0,7.5,6,2,6.389452332657202,0.38848920863309355,0.44029605263157895,0.28712328767123285,,,-0.40000000000000036
Cole Palmer,Man City,Midfielder,0.2,0.5,19,0,1.4,7.13,4,0.25,0.36,0,0.21,3.8,3.8,0.0,5.0,1,1,0.9634888438133874,0.05251798561151079,0.04862938596491228,0.08493150684931507,,,-0.36
Máximo Perrone,Man City,Midfielder,0.0,0.0,1,0,1.0,0.19,1,0.0,0.0,0,0.05,0.2,0.2,0.0,4.5,0,0,0.05070993914807302,0.0007194244604316547,0.001425438596491228,0.002191780821917808,,,0.0
Kalvin Phillips,Man City,Midfielder,0.1,0.62,14,0,1.2,5.05,3,0.31,0.28,0,0.12,2.8,2.8,0.0,5.0,1,1,0.7099391480730223,0.03597122302158273,0.02982456140350877,0.012054794520547944,,,-0.28
Rodrigo Hernandez,Man City,Midfielder,2.4,1.05,108,7,3.0,25.24,26,0.34,4.53,2,0.25,19.6,19.6,0.0,5.5,11,5,5.476673427991886,0.5151079136690647,0.30476973684210523,0.27013698630136984,,,-2.5300000000000002
Mason Mount,Man Utd,Midfielder,4.8,1.09,82,8,3.4,23.53,21,0.44,1.97,3,0.26,11.7,11.7,0.0,7.0,8,4,4.693760732684602,0.23841726618705034,0.2538925438596491,0.20602739726027397,,4.0,1.03
Antony Matheus dos Santos,Man Utd,Midfielder,1.7,1.15,82,4,3.3,25.37,21,0.6,6.65,4,0.45,11.7,11.7,0.0,7.0,12,5,4.693760732684602,0.2316546762589928,0.2308114035087719,0.34684931506849315,,,-2.6500000000000004
Bruno Borges Fernandes,Man Utd,Midfielder,26.8,1.0,176,23,4.8,49.13,39,0.49,9.33,8,0.54,20.7,20.7,0.0,8.5,18,6,10.074413279908415,0.7224460431654677,0.8792214912280701,0.5380821917808218,1.0,2.0,-1.33
Carlos Henrique Casimiro,Man Utd,Midfielder,4.3,1.02,87,10,3.1,29.3,22,0.42,3.49,4,0.31,15.8,15.8,0.0,5.5,10,7,4.979965655409273,0.4633093525179856,0.22960526315789473,0.16383561643835615,,,0.5099999999999998
Christian Eriksen,Man Utd,Midfielder,0.5,1.1,103,8,3.7,26.02,25,0.57,4.79,1,0.36,17.2,17.2,0.0,6.0,13,3,5.89582140812822,0.3060431654676259,0.31535087719298244,0.1884931506849315,,1.0,-3.79
Frederico Rodrigues de Paula Santos,Man Utd,Midfielder,0.2,0.88,62,2,1.8,21.86,22,0.29,2.03,2,0.28,12.4,12.4,0.0,5.0,4,6,3.5489410417859184,0.2274820143884892,0.21584429824561402,0.1232876712328767,,,-0.029999999999999805
Alejandro Garnacho,Man Utd,Midfielder,2.7,0.81,39,0,2.1,8.02,13,0.0,2.97,3,0.63,7.8,7.8,0.0,5.0,0,3,2.2323983972524326,0.11338129496402878,0.03382675438596491,0.15726027397260273,,,0.029999999999999805
Kobbie Mainoo,Man Utd,Midfielder,0.1,0.0,1,0,1.0,0.25,0,0.0,0.0,0,0.63,0.2,0.2,0.0,4.5,0,0,0.05724098454493417,0.004172661870503597,0.0004385964912280702,0.003287671232876712,,,0.0
Scott McTominay,Man Utd,Midfielder,0.1,0.78,36,2,1.5,22.38,20,0.31,1.96,1,0.23,7.2,7.2,0.0,5.0,4,8,2.06067544361763,0.1776978417266187,0.06754385964912281,0.08547945205479451,,,-0.96
Facundo Pellistri Rebollo,Man Utd,Midfielder,0.1,0.0,4,0,1.0,0.78,1,0.0,0.0,0,0.03,0.9,0.9,0.0,4.5,0,0,0.22896393817973668,0.005323741007194245,0.000986842105263158,0.001095890410958904,,,0.0
Marcus Rashford,Man Utd,Midfielder,45.6,1.0,205,21,5.9,43.46,39,0.41,15.27,17,0.57,22.8,22.8,0.0,9.0,13,2,11.734401831711505,0.6418705035971224,0.25356359649122806,0.8032876712328767,3.0,,1.7300000000000004
Jadon Sancho,Man Utd,Midfielder,1.4,1.12,105,8,4.0,24.95,18,0.7,4.02,6,0.43,15.0,15.0,0.0,7.0,13,0,6.010303377218088,0.3120863309352518,0.31337719298245614,0.23342465753424657,,,1.9800000000000004
Donny van de Beek,Man Utd,Midfielder,0.1,1.11,8,0,1.1,1.58,3,0.0,0.1,0,0.14,1.6,1.6,0.0,5.0,0,0,0.45792787635947335,0.008057553956834532,0.022039473684210525,0.02958904109589041,,,-0.1
Miguel Almirón Rejala,Newcastle,Midfielder,8.2,1.05,158,15,4.6,28.35,22,0.54,8.03,11,0.4,24.3,24.3,0.0,6.5,15,2,7.673627974745021,0.44014388489208633,0.23377192982456138,0.4887671232876712,,3.0,2.9700000000000006
Elliot Anderson,Newcastle,Midfielder,6.8,0.68,30,2,1.4,6.03,7,0.23,1.14,0,0.59,6.7,6.7,0.0,4.5,1,0,1.4570179698882952,0.07107913669064748,0.07121710526315789,0.10191780821917808,,,-1.14
Bruno Guimarães Rodriguez Moura,Newcastle,Midfielder,3.5,1.06,107,5,3.3,29.82,25,0.4,2.82,4,0.21,17.8,17.8,0.0,6.0,12,7,5.19669742593492,0.45381294964028773,0.3542214912280702,0.15671232876712327,,,1.1800000000000002
Ryan Fraser,Newcastle,Midfielder,0.1,0.88,11,0,1.4,3.34,3,0.29,0.31,0,0.16,2.2,2.2,0.0,5.0,1,1,0.5342399222923749,0.019280575539568346,0.04057017543859649,0.03835616438356164,,,-0.31
Anthony Gordon,Newcastle,Midfielder,0.5,0.91,68,5,2.1,25.18,18,0.23,4.73,4,0.34,12.4,12.4,0.0,5.5,4,7,3.3025740650801363,0.22388489208633094,0.12423245614035086,0.3013698630136986,,,-0.7300000000000004
Joelinton Cássio Apolinário de Lira,Newcastle,Midfielder,1.2,1.02,115,10,3.6,32.27,26,0.37,7.11,6,0.3,19.2,19.2,0.0,6.0,11,12,5.5852355512384655,0.43410071942446044,0.22648026315789474,0.35890410958904106,3.0,,-1.1100000000000003
Sean Longstaff,Newcastle,Midfielder,0.2,1.0,93,2,2.8,27.57,18,0.47,3.3,1,0.21,18.6,18.6,0.0,5.0,13,2,4.516755706653716,0.2771223021582734,0.20394736842105263,0.2235616438356164,,,-2.3
Jacob Murphy,Newcastle,Midfielder,0.2,1.02,78,2,2.2,16.13,12,0.22,3.46,4,0.47,15.6,15.6,0.0,5.0,3,0,3.7882467217095677,0.19784172661870503,0.16584429824561403,0.22465753424657534,,,0.54
Matt Ritchie,Newcastle,Midfielder,0.2,0.0,7,0,1.0,0.9,0,0.0,0.0,0,0.13,1.6,1.6,0.0,4.5,0,0,0.3399708596406022,0.006330935251798561,0.009429824561403509,0.001095890410958904,,,0.0
Allan Saint-Maximin,Newcastle,Midfielder,0.2,0.97,66,4,2.6,13.91,14,0.32,1.6,1,0.34,11.0,11.0,0.0,6.0,4,1,3.2054395337542494,0.20489208633093525,0.21787280701754383,0.20876712328767122,,,-0.6000000000000001
Joe Willock,Newcastle,Midfielder,0.7,1.09,123,11,3.5,29.62,26,0.42,7.3,3,0.41,22.4,22.4,0.0,5.5,12,1,5.973773676542011,0.3746762589928057,0.29989035087719296,0.37260273972602737,,,-4.3
Harvey Barnes,Newcastle,Midfielder,2.5,1.06,138,0,4.1,50.76,51,0.2,9.07,13,0.38,21.2,21.2,0.0,6.5,6,3,6.702282661486159,0.44086330935251794,0.1770285087719298,0.5161643835616438,,,3.9299999999999997
Anthony Elanga,Nott'm Forest,Midfielder,0.6,1.08,23,0,1.4,4.79,2,0.43,0.65,0,0.35,4.6,4.6,0.0,5.0,2,0,1.9759450171821304,0.037697841726618705,0.04320175438596491,0.08876712328767122,,,-0.65
Danilo dos Santos de Oliveira,Nott'm Forest,Midfielder,0.2,1.11,48,5,3.7,20.32,18,0.09,1.58,3,0.2,8.7,8.7,0.0,5.5,1,1,4.123711340206185,0.18258992805755397,0.05926535087719298,0.061917808219178076,,,1.42
Remo Freuler,Nott'm Forest,Midfielder,0.0,1.0,54,0,1.9,41.93,47,0.25,0.42,0,0.05,10.8,10.8,0.0,5.0,6,4,4.639175257731959,0.1958273381294964,0.09577850877192981,0.02958904109589041,,,-0.42
Morgan Gibbs-White,Nott'm Forest,Midfielder,3.1,1.03,145,11,3.9,57.88,61,0.23,6.77,5,0.36,24.2,24.2,0.0,6.0,8,6,12.457044673539519,0.43985611510791367,0.537390350877193,0.34410958904109584,1.0,1.0,-1.7699999999999996
Brennan Johnson,Nott'm Forest,Midfielder,0.8,1.01,122,15,3.2,53.79,54,0.22,8.39,8,0.32,20.3,20.3,0.0,6.0,7,6,10.481099656357388,0.34575539568345326,0.20526315789473681,0.40164383561643835,2.0,,-0.39000000000000057
Cheikhou Kouyaté,Nott'm Forest,Midfielder,0.0,1.03,35,2,1.7,17.06,23,0.21,0.36,1,0.07,7.0,7.0,0.0,5.0,2,3,3.006872852233677,0.11683453237410073,0.045559210526315785,0.04438356164383561,,,0.64
Orel Mangala,Nott'm Forest,Midfielder,0.0,1.17,50,0,1.9,29.46,24,0.29,0.57,1,0.07,10.0,10.0,0.0,5.0,5,3,4.29553264604811,0.14345323741007196,0.03399122807017543,0.0410958904109589,,,0.43000000000000005
Alex Mighten,Nott'm Forest,Midfielder,0.0,0.0,1,0,1.0,0.23,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.0859106529209622,0.0,0.0001644736842105263,0.0,,,0.0
Lewis O'Brien,Nott'm Forest,Midfielder,0.0,0.93,22,0,1.7,14.13,14,0.16,0.34,1,0.08,4.4,4.4,0.0,5.0,1,2,1.8900343642611683,0.07755395683453237,0.030921052631578946,0.025753424657534246,,,0.6599999999999999
Gustavo Henrique Furtado Scarpa,Nott'm Forest,Midfielder,0.1,1.02,5,0,0.8,2.87,1,0.0,0.23,0,0.14,1.1,1.1,0.0,4.5,0,1,0.429553264604811,0.01079136690647482,0.009484649122807018,0.0136986301369863,,,-0.23
Jonjo Shelvey,Nott'm Forest,Midfielder,0.0,0.94,16,0,1.5,11.62,11,0.16,0.19,0,0.13,3.2,3.2,0.0,5.0,1,2,1.3745704467353952,0.04,0.05597587719298245,0.006027397260273972,,2.0,-0.19
Ryan Yates,Nott'm Forest,Midfielder,0.0,1.03,53,0,2.0,29.34,36,0.25,1.99,0,0.12,10.6,10.6,0.0,5.0,5,5,4.553264604810996,0.15467625899280577,0.05663377192982456,0.1276712328767123,,,-1.99
Rodrigo Bentancur,Spurs,Midfielder,0.0,1.02,71,7,3.9,19.71,24,0.36,2.26,5,0.18,12.9,12.9,0.0,5.5,6,8,4.108796296296297,0.35223021582733816,0.0987938596491228,0.12931506849315066,,,2.74
Yves Bissouma,Spurs,Midfielder,0.2,0.9,27,0,1.2,13.91,20,0.09,0.17,0,0.05,5.4,5.4,0.0,5.0,1,6,1.5625,0.09338129496402879,0.07510964912280702,0.013150684931506848,,,-0.17
Bryan Gil Salvatierra,Spurs,Midfielder,0.0,1.23,9,0,2.2,0.9,1,0.62,0.1,0,0.11,1.8,1.8,0.0,5.0,1,1,0.5208333333333333,0.021870503597122302,0.01507675438596491,0.014794520547945205,,,-0.1
Pierre-Emile Højbjerg,Spurs,Midfielder,0.6,1.01,120,10,3.4,45.05,57,0.29,2.02,4,0.15,21.8,21.8,0.0,5.5,10,5,6.944444444444445,0.5453237410071943,0.2750548245614035,0.12986301369863013,,,1.98
Dejan Kulusevski,Spurs,Midfielder,1.8,1.0,96,5,3.2,30.15,40,0.35,2.68,2,0.33,13.7,13.7,0.0,7.0,8,2,5.555555555555555,0.29553956834532374,0.3505482456140351,0.28164383561643835,,3.0,-0.6800000000000002
James Maddison,Spurs,Midfielder,13.0,1.02,135,9,4.5,47.16,54,0.15,8.5,10,0.51,18.0,18.0,0.0,7.5,4,10,7.8125,0.5772661870503597,0.5399671052631578,0.44109589041095887,,,1.5
Richarlison de Andrade,Spurs,Midfielder,2.1,1.09,54,2,2.0,14.99,18,0.27,3.43,1,0.44,7.7,7.7,0.0,7.0,3,3,3.125,0.15093525179856115,0.12143640350877193,0.23835616438356164,,,-2.43
Pape Matar Sarr,Spurs,Midfielder,0.9,0.85,14,0,1.3,5.8,11,0.0,0.06,0,0.04,3.1,3.1,0.0,4.5,0,1,0.8101851851851851,0.03985611510791367,0.01469298245614035,0.002191780821917808,,,-0.06
Oliver Skipp,Spurs,Midfielder,0.1,1.09,43,1,1.9,22.65,28,0.24,0.29,1,0.04,8.6,8.6,0.0,5.0,4,7,2.488425925925926,0.16,0.08634868421052631,0.028493150684931506,,,0.71
Son Heung-min,Spurs,Midfielder,4.6,1.03,152,8,4.2,42.74,55,0.28,9.8,10,0.45,16.9,16.9,0.0,9.0,9,2,8.796296296296296,0.5270503597122302,0.4671052631578947,0.5035616438356164,3.0,1.0,0.1999999999999993
Manor Solomon,Spurs,Midfielder,0.2,0.64,44,1,2.3,12.18,11,0.0,1.21,4,0.32,8.0,8.0,0.0,5.5,0,0,2.5462962962962963,0.15755395683453238,0.053508771929824554,0.06410958904109589,,,2.79
Saïd Benrahma,West Ham,Midfielder,0.9,0.96,106,5,3.0,32.76,32,0.26,7.04,6,0.45,17.7,17.7,0.0,6.0,6,0,7.709090909090908,0.3722302158273381,0.35109649122807013,0.3665753424657534,2.0,,-1.04
Jarrod Bowen,West Ham,Midfielder,4.9,1.0,145,9,3.8,47.84,50,0.25,9.38,6,0.43,20.7,20.7,0.0,7.0,9,2,10.545454545454545,0.45338129496402885,0.37631578947368416,0.6021917808219177,4.0,1.0,-3.380000000000001
Maxwel Cornet,West Ham,Midfielder,0.1,0.78,14,0,1.0,4.77,5,0.0,1.26,0,0.54,2.5,2.5,0.0,5.5,0,0,1.0181818181818183,0.02,0.016831140350877193,0.03890410958904109,,,-1.26
Conor Coventry,West Ham,Midfielder,0.1,0.0,1,0,1.0,0.0,0,0.0,0.0,0,0.0,0.2,0.2,0.0,4.5,0,0,0.07272727272727272,0.0,0.0,0.0,,,0.0
Flynn Downes,West Ham,Midfielder,0.0,0.84,27,0,1.3,13.53,14,0.12,0.43,0,0.06,5.4,5.4,0.0,5.0,1,2,1.9636363636363636,0.04906474820143885,0.02346491228070175,0.02794520547945205,,,-0.43
Pablo Fornals Malla,West Ham,Midfielder,0.1,1.02,71,6,2.2,25.06,28,0.06,2.13,3,0.25,14.2,14.2,0.0,5.0,1,0,5.163636363636363,0.19568345323741007,0.17428728070175437,0.11616438356164382,,5.0,0.8700000000000001
Lucas Tolentino Coelho de Lima,West Ham,Midfielder,1.3,1.13,98,8,3.5,33.84,39,0.25,4.39,4,0.29,16.3,16.3,0.0,6.0,6,5,7.127272727272728,0.36287769784172663,0.2587171052631579,0.25972602739726025,3.0,,-0.3899999999999997
Tomáš Souček,West Ham,Midfielder,1.1,1.02,100,6,2.8,43.04,42,0.26,4.02,2,0.16,20.0,20.0,0.0,5.0,8,3,7.2727272727272725,0.4069064748201439,0.12615131578947367,0.25863013698630133,,,-2.0199999999999996
Gonçalo Manuel Ganchinho Guedes,Wolves,Midfielder,0.1,1.02,29,1,2.2,11.99,12,0.26,1.2,1,0.21,5.3,5.3,0.0,5.5,2,1,2.7410207939508506,0.06431654676258994,0.07653508771929823,0.1221917808219178,,,-0.19999999999999996
Joe Hodge,Wolves,Midfielder,0.1,0.52,5,0,0.8,4.04,5,0.0,0.28,0,0.18,1.1,1.1,0.0,4.5,0,1,0.4725897920604915,0.010359712230215827,0.009539473684210525,0.01643835616438356,,,-0.28
Hwang Hee-chan,Wolves,Midfielder,0.2,0.97,60,3,2.2,16.92,18,0.24,2.97,3,0.29,10.9,10.9,0.0,5.5,3,1,5.671077504725898,0.14043165467625898,0.08234649122807017,0.13260273972602737,3.0,,0.029999999999999805
João Victor Gomes da Silva,Wolves,Midfielder,0.1,0.97,21,2,1.9,14.35,18,0.28,0.3,1,0.06,4.2,4.2,0.0,5.0,2,5,1.9848771266540641,0.10057553956834533,0.04073464912280701,0.025205479452054792,,,0.7
Mario Lemina,Wolves,Midfielder,0.0,1.18,35,0,1.8,27.88,28,0.35,0.25,0,0.05,7.0,7.0,0.0,5.0,5,2,3.30812854442344,0.1556834532374101,0.03634868421052631,0.019726027397260273,,,-0.25
Matheus Luiz Nunes,Wolves,Midfielder,0.3,1.09,80,5,2.4,41.19,38,0.4,2.41,1,0.14,16.0,16.0,0.0,5.0,11,2,7.561436672967864,0.2671942446043165,0.22291666666666668,0.17205479452054792,,6.0,-1.4100000000000001
Pedro Lomba Neto,Wolves,Midfielder,0.2,1.22,37,0,2.1,14.34,15,0.47,1.12,0,0.25,6.7,6.7,0.0,5.5,5,1,3.497164461247637,0.06964028776978418,0.16968201754385964,0.11123287671232876,,,-1.12
Daniel Castelo Podence,Wolves,Midfielder,0.2,1.02,92,10,2.9,28.24,31,0.31,3.88,6,0.31,16.7,16.7,0.0,5.5,6,5,8.695652173913043,0.27050359712230215,0.28114035087719297,0.31780821917808216,,,2.12
Pablo Sarabia,Wolves,Midfielder,0.1,1.06,27,3,2.1,13.37,9,0.35,2.99,1,0.45,5.4,5.4,0.0,5.0,3,3,2.551984877126654,0.06618705035971223,0.10126096491228069,0.08602739726027396,,2.0,-1.9900000000000002
Boubacar Traoré,Wolves,Midfielder,0.6,0.89,14,0,1.4,7.62,9,0.0,0.07,0,0.03,3.1,3.1,0.0,4.5,0,2,1.3232514177693762,0.039136690647482014,0.009265350877192982,0.003835616438356164,,,-0.07
